id,contentdm_id,local_id,permanent_url,creator,date,description,extent,format,issue_number,language,rights,series,spatial,subject,title,type,volume
b78ec3a2-05de-485f-8fb1-2e95bbe234cd,p15957coll13/id/70049,dchnp71001,https://idn.duke.edu/ark:/87924/r4vq2zk8w,"Chronicle (Durham, N.C.)",1905-12-19,,4 pages,newspapers|periodicals,1,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 1 (Tuesday, December 19, 1905)",Text,1
eb869659-6b8b-4f4d-90eb-99df8a7477b3,p15957coll13/id/70054,dchnp71002,https://idn.duke.edu/ark:/87924/r4td9tw33,"Chronicle (Durham, N.C.)",1906-01-09,"Mislabeled as January 9, 1905 when it should be January 9, 1906",4 pages,newspapers|periodicals,2,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 2 (Tuesday, January 9, 1906)",Text,1
ea46c204-bfe3-4fb7-8c8e-2c18d8a72f6d,p15957coll13/id/70057,dchnp71003,https://idn.duke.edu/ark:/87924/r48917g5m,"Chronicle (Durham, N.C.)",1906-01-16,,2 pages,newspapers|periodicals,3,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 3 (Tuesday, January 16, 1906)",Text,1
08ce5af3-9334-493c-ad54-9b4fe9f18e86,p15957coll13/id/70064,dchnp71004,https://idn.duke.edu/ark:/87924/r40z76700,"Chronicle (Durham, N.C.)",1906-01-23,,6 pages,newspapers|periodicals,4,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 4 (Tuesday, January 23, 1906)",Text,1
7320f16e-a228-4ca8-ba7d-fe69da08d4d6,p15957coll13/id/70069,dchnp71005,https://idn.duke.edu/ark:/87924/r4bz66s4t,"Chronicle (Durham, N.C.)",1906-01-30,,4 pages,newspapers|periodicals,5,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 5 (Tuesday, January 30, 1906)",Text,1
9d81928a-d6e3-42b7-97ec-aa821dd51ea4,p15957coll13/id/70074,dchnp71006,https://idn.duke.edu/ark:/87924/r4p26wm3h,"Chronicle (Durham, N.C.)",1906-02-06,,4 pages,newspapers|periodicals,6,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 6 (Tuesday, February 6, 1906)",Text,1
540b9076-92b6-4919-beca-89d6ab467d6e,p15957coll13/id/70079,dchnp71007,https://idn.duke.edu/ark:/87924/r4qf8qw1x,"Chronicle (Durham, N.C.)",1906-02-13,,4 pages,newspapers|periodicals,7,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 7 (Tuesday, February 13, 1906)",Text,1
93c72530-53ad-47b0-9238-71d991f913b7,p15957coll13/id/70084,dchnp71008,https://idn.duke.edu/ark:/87924/r43t9kv1d,"Chronicle (Durham, N.C.)",1906-02-20,,4 pages,newspapers|periodicals,8,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 8 (Tuesday, February 20, 1906)",Text,1
8fb08e8a-578f-408f-95dd-d8d16a5d2cc6,p15957coll13/id/70089,dchnp71009,https://idn.duke.edu/ark:/87924/r4j102n73,"Chronicle (Durham, N.C.)",1906-02-27,,4 pages,newspapers|periodicals,9,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 9 (Tuesday, February 27, 1906)",Text,1
7160f8d7-93f0-4460-a76e-36f5f1555a31,p15957coll13/id/70094,dchnp71010,https://idn.duke.edu/ark:/87924/r4xs5r90d,"Chronicle (Durham, N.C.)",1906-03-06,,4 pages,newspapers|periodicals,10,eng,http://rightsstatements.org/vocab/NoC-US/1.0/,The Trinity Chronicle,North Carolina|Durham (N.C.),Duke University--Newspapers|College student newspapers and periodicals--North Carolina--Durham (N.C.),"The Trinity Chronicle, vol. 1, no. 10 (Tuesday, March 6, 1906)",Text,1
